cocalinhos,16,BCO,-51,-14.366667
goianira,17,BGN,-49.426389,-16.496111
goiania,18,BGO,-49.253889,-16.678611
caiaponia,19,BCA,-51.810278,-16.956667
costa rica city,20,BCR,-53.129167,-18.543889
aquidauana,21,BAQ,-56.088333,-19.589167
campo grande,22,BCG,-54.646389,-20.442778
são sebastião do paraiso,23,BSS,-46.991389,-20.916944
estiva,24,BES,-46.017222,-22.462778
campinas,25,BCP,-47.060833,-22.905556
carambeí,26,BCI,-50.097222,-24.917778
fagundes varela,27,BFV,-51.6975,-28.880833
santo antonio das missões,28,BSA,-55.227778,-28.511389
pinheiro machado,29,BPM,-53.381111,-31.578333
ybytymí,30,PYB,-56.783333,-25.766667
paso muñoz,34,UPM,-56.383333,-31.45
san antonio,32,UST,-57.716667,-31.383333
dayman,33,UDA,-57.95,-31.55
bañados de medina,35,UBM,-54.45,-32.366667
cerro colorado,36,UCC,-55.55,-33.866667
la estanzuela,31,UCO,-57.716667,-34.333333
joaquin suarez,37,UJS,-56.036667,-34.733611
pueblo lezama,38,APL,-57.883333,-35.866667
