species,Latitude,Longitude
Cochliomyia hominivorax,27.03,-98.23
Cochliomyia hominivorax,28.58,-111.52
Cochliomyia hominivorax,22.80,-98.70
Cochliomyia hominivorax,22.05,-98.17
Cochliomyia hominivorax,19.23,-103.72
Cochliomyia hominivorax,19.20,-96.13
Cochliomyia hominivorax,19.05,-104.32
Cochliomyia hominivorax,18.55,-88.25
Cochliomyia hominivorax,18.50,-88.30
Cochliomyia hominivorax,16.92,-91.35
Cochliomyia hominivorax,16.70,-93.00
Cochliomyia hominivorax,16.28,-97.82
Cochliomyia hominivorax,16.23,-93.90
Cochliomyia hominivorax,16.23,-93.23
Cochliomyia hominivorax,15.63,-92.65
Cochliomyia hominivorax,15.28,-92.70
Cochliomyia hominivorax,14.62,-90.53
Cochliomyia hominivorax,18.07,-88.55
Cochliomyia hominivorax,10.73,-85.10
Cochliomyia hominivorax,11.03,-85.52
Cochliomyia hominivorax,10.99,-85.43
Cochliomyia hominivorax,10.98,-85.54
Cochliomyia hominivorax,10.88,-85.41
Cochliomyia hominivorax,10.80,-85.68
Cochliomyia hominivorax,10.76,-85.31
Cochliomyia hominivorax,10.58,-85.02
Cochliomyia hominivorax,10.43,-85.10
Cochliomyia hominivorax,10.01,-84.51
Cochliomyia hominivorax,10.42,-85.20
Cochliomyia hominivorax,9.75,-83.78
Cochliomyia hominivorax,9.65,-85.07
Cochliomyia hominivorax,9.39,-84.13
Cochliomyia hominivorax,8.92,-82.80
Cochliomyia hominivorax,8.53,-83.43
Cochliomyia hominivorax,22.42,-83.70
Cochliomyia hominivorax,21.88,-82.90
Cochliomyia hominivorax,21.84,-78.76
Cochliomyia hominivorax,20.96,-76.95
Cochliomyia hominivorax,20.02,-75.82
Cochliomyia hominivorax,20.00,-75.13
Cochliomyia hominivorax,18.47,-69.90
Cochliomyia hominivorax,18.00,-76.79
Cochliomyia hominivorax,10.65,-61.52
Cochliomyia hominivorax,10.53,-61.09
Cochliomyia hominivorax,10.28,-61.47
Cochliomyia hominivorax,11.71,-70.20
Cochliomyia hominivorax,10.60,-66.89
Cochliomyia hominivorax,10.44,-68.88
Cochliomyia hominivorax,10.18,-70.07
Cochliomyia hominivorax,10.17,-63.50
Cochliomyia hominivorax,9.78,-69.17
Cochliomyia hominivorax,9.07,-72.24
Cochliomyia hominivorax,8.62,-71.65
Cochliomyia hominivorax,8.49,-69.83
Cochliomyia hominivorax,7.68,-76.69
Cochliomyia hominivorax,6.00,-77.00
Cochliomyia hominivorax,0.85,-79.84
Cochliomyia hominivorax,-0.70,-80.09
Cochliomyia hominivorax,-0.91,-77.80
Cochliomyia hominivorax,-1.18,-79.05
Cochliomyia hominivorax,-1.55,-80.01
Cochliomyia hominivorax,-2.32,-80.72
Cochliomyia hominivorax,-12.07,-75.23
Cochliomyia hominivorax,-10.68,-76.27
Cochliomyia hominivorax,-6.77,-79.84
Cochliomyia hominivorax,-3.10,-60.03
Cochliomyia hominivorax,-5.20,-35.46
Cochliomyia hominivorax,-8.05,-34.88
Cochliomyia hominivorax,-8.87,-49.71
Cochliomyia hominivorax,-11.30,-41.86
Cochliomyia hominivorax,-11.55,-41.16
Cochliomyia hominivorax,-14.37,-51.00
Cochliomyia hominivorax,-16.26,-56.62
Cochliomyia hominivorax,-16.50,-49.43
Cochliomyia hominivorax,-16.68,-49.25
Cochliomyia hominivorax,-16.96,-51.81
Cochliomyia hominivorax,-18.54,-53.13
Cochliomyia hominivorax,-19.59,-56.09
Cochliomyia hominivorax,-20.44,-54.65
Cochliomyia hominivorax,-20.45,-54.62
Cochliomyia hominivorax,-20.92,-46.99
Cochliomyia hominivorax,-22.46,-46.02
Cochliomyia hominivorax,-22.74,-43.71
Cochliomyia hominivorax,-22.70,-46.76
Cochliomyia hominivorax,-21.69,-51.07
Cochliomyia hominivorax,-22.00,-47.43
Cochliomyia hominivorax,-22.89,-48.45
Cochliomyia hominivorax,-22.97,-47.00
Cochliomyia hominivorax,-23.62,-45.41
Cochliomyia hominivorax,-24.92,-50.10
Cochliomyia hominivorax,-28.51,-55.23
Cochliomyia hominivorax,-28.88,-51.70
Cochliomyia hominivorax,-30.03,-51.23
Cochliomyia hominivorax,-31.58,-53.38
Cochliomyia hominivorax,-31.78,-52.42
Cochliomyia hominivorax,-23.87,-56.57
Cochliomyia hominivorax,-25.77,-56.78
Cochliomyia hominivorax,-30.43,-56.75
Cochliomyia hominivorax,-31.55,-57.95
Cochliomyia hominivorax,-31.83,-56.15
Cochliomyia hominivorax,-32.35,-53.78
Cochliomyia hominivorax,-32.48,-54.65
Cochliomyia hominivorax,-32.98,-58.05
Cochliomyia hominivorax,-33.68,-53.45
Cochliomyia hominivorax,-33.87,-55.55
Cochliomyia hominivorax,-33.99,-58.29
Cochliomyia hominivorax,-34.33,-57.72
Cochliomyia hominivorax,-34.73,-56.04
Cochliomyia hominivorax,-24.32,-64.97
Cochliomyia hominivorax,-25.60,-54.57
Cochliomyia hominivorax,-27.32,-58.93
Cochliomyia hominivorax,-27.58,-60.72
Cochliomyia hominivorax,-28.50,-58.83
Cochliomyia hominivorax,-30.85,-64.52
Cochliomyia hominivorax,-30.87,-62.98
Cochliomyia hominivorax,-31.27,-61.48
Cochliomyia hominivorax,-34.50,-58.58
Cochliomyia hominivorax,-34.84,-58.10
Cochliomyia hominivorax,-35.87,-57.88
Cochliomyia hominivorax,-36.52,-64.02
Cochliomyia hominivorax,-38.72,-62.28
