,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.03406,0.03435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.00416,0.02871,0.51539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00198,0.0001,0.00545,0.00109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00079,0.0001,0.01277,0.00396,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.00386,0.00089,0.07108,0.02426,0.00069,0.00109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00089,0.0001,0.02831,0.00802,0,0.0001,0.03099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00455,0.00168,0.12266,0.04029,0.00079,0.00703,0.23235,0.00584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.00129,0.00069,0.0498,0.0103,0.0004,0.00149,0.00436,0.00723,0.04841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03633,0.01238,0.16979,0.09524,0.00673,0.02772,0.06485,0.02218,0.10098,0.0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.01762,0.00644,0.10722,0.02257,0.00218,0.00584,0.0201,0.02218,0.01554,0.11068,0.58885,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.03049,0.0197,0.1483,0.40184,0.01059,0.02485,0.06178,0.02138,0.15731,0.04227,0.16979,0.10385,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.00446,0.00188,0.07514,0.03336,0.00149,0.00386,0.00752,0.00396,0.04425,0.01158,0.06306,0.01772,0.04811,,,,,,,,,,,,,,,,,,,,,,,,,
