barquisimeto,10,VBA,10.5,-69.316
encontrados (maracaibo),9,VEN,9.333,-72.216
turbo,8,COT,7.676944,-76.686389
rio verde,13,ERV,-2.324778,-80.719064
touros,14,BTO,-5.198889,-35.460833
santa maria das barreiras,15,BSM,-8.871667,-49.712778
cocalinhos,16,BCO,-14.366667,-51
goianira,17,BGN,-16.496111,-49.426389
goiania,18,BGO,-16.678611,-49.253889
caiaponia,19,BCA,-16.956667,-51.810278
costa rica city,20,BCR,-18.543889,-53.129167
aquidauana,21,BAQ,-19.589167,-56.088333
campo grande,22,BCG,-20.442778,-54.646389
são sebastião do paraiso,23,BSS,-20.916944,-46.991389
estiva,24,BES,-22.462778,-46.017222
campinas,25,BCP,-22.905556,-47.060833
carambeí,26,BCI,-24.917778,-50.097222
fagundes varela,27,BFV,-28.880833,-51.6975
santo antonio das missões,28,BSA,-28.511389,-55.227778
pinheiro machado,29,BPM,-31.578333,-53.381111
ybytymí,30,PYB,-25.766667,-56.783333
paso muñoz,34,UPM,-31.45,-56.383333
san antonio,32,UST,-31.383333,-57.716667
dayman,33,UDA,-31.55,-57.95
bañados de medina,35,UBM,-32.366667,-54.45
cerro colorado,36,UCC,-33.866667,-55.55
la estanzuela,31,UCO,-34.333333,-57.716667
joaquin suarez,37,UJS,-34.733611,-56.036667
pueblo lezama,38,APL,-35.866667,-57.883333
